;//스킬ID,이전스킬ID,이름,"영역(1:돌격, 2:지원, 3:기술)",요구스킬포인트,스킬단계,스킬파라메터1,스킬파라메터2,획득효과_텍스트키,설명_텍스트키
;skillid,base_skillid,name,category,ReqPoint,MaxGrade,SkillParams1,SkillParams2,SkillEffect_Desc,Skill_Comment
;int,int,string,int,int,int,string,string,string,string
1,0,#CSO2_GZ_SKILL1,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL1_DESC,#CSO2_GZ_SKILL1_COMMENT
2,1,#CSO2_GZ_SKILL2,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL2_DESC,#CSO2_GZ_SKILL2_COMMENT
3,2,#CSO2_GZ_SKILL3,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL3_DESC,#CSO2_GZ_SKILL3_COMMENT
4,3,#CSO2_GZ_SKILL4,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL4_DESC,#CSO2_GZ_SKILL4_COMMENT
5,4,#CSO2_GZ_SKILL5,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL5_DESC,#CSO2_GZ_SKILL5_COMMENT
6,5,#CSO2_GZ_SKILL6,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL6_DESC,#CSO2_GZ_SKILL6_COMMENT
7,6,#CSO2_GZ_SKILL6,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL7_DESC,#CSO2_GZ_SKILL7_COMMENT
8,7,#CSO2_GZ_SKILL6,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL8_DESC,#CSO2_GZ_SKILL8_COMMENT
9,8,#CSO2_GZ_SKILL6,1,5,5,10/20/30/40,10/20/30/40,#CSO2_GZ_SKILL9_DESC,#CSO2_GZ_SKILL9_COMMENT
									
