;// 힌트,,,,,,,,,
;// 인덱스,// 우선순위,// 힌트 메시지,,,,,,,
Index,Priority,HintMessage,//내용,,,,,,
1,2,#CSO2_INGAME_HINT_CANNOT_PLAY_BECAUSE_TK,,,,,,,
2,13,#CSO2_INGAME_HINT_CAREFUL_AROUND_HOSTAGES,,,,,,,
3,12,#CSO2_INGAME_HINT_CAREFUL_AROUND_TEAMMATES,,,,,,,
4,10,#CSO2_INGAME_HINT_HOSTAGE_RESCUE_ZONE,,,,,,,
5,18,#CSO2_INGAME_HINT_LEAD_HOSTAGE_TO_RESCUE_POINT,,,,,,,
6,6,#CSO2_INGAME_HINT_LOST_MONEY,,,,,,,
7,8,#CSO2_INGAME_HINT_OUT_OF_AMMO,,,,,,,
8,11,#CSO2_INGAME_HINT_PRESS_BUY_TO_PURCHASE,,,,,,,
9,19,#CSO2_INGAME_HINT_PRESS_USE_SO_HOSTAGE_WILL_FOLLOW,,,,,,,
10,17,#CSO2_INGAME_HINT_PREVENT_HOSTAGE_RESCUE,,,,,,,
11,9,#CSO2_INGAME_HINT_REMOVED_FOR_NEXT_HOSTAGE_KILLED,,,,,,,
12,7,#CSO2_INGAME_HINT_RESCUE_THE_HOSTAGES,,,,,,,
13,15,#CSO2_INGAME_HINT_SPOTTED_A_FRIEND,,,,,,,
14,14,#CSO2_INGAME_HINT_SPOTTED_AN_ENEMY,,,,,,,
15,5,#CSO2_INGAME_HINT_TRY_NOT_TO_INJURE_TEAMMATES,,,,,,,
16,3,#CSO2_INGAME_HINT_USE_HOSTAGE_TO_STOP_HIM,,,,,,,
17,1,#CSO2_INGAME_HINT_USE_NIGHTVISION,,,,,,,
18,4,#CSO2_INGAME_HINT_WIN_ROUND_BY_KILLING_ENEMY,,,,,,,
19,20,#CSO2_INGAME_HINT_YOU_ARE_IN_TARGET_ZONE,,,,,,,
20,21,#CSO2_INGAME_HINT_YOU_HAVE_THE_BOMB,,,,,,,
21,23,#CSO2_INGAME_HINT_FOUND_THE_BOMB,,,,,,, 
22,24,#CSO2_INGAME_HINT_CT_BACKSTABBED,,,,,,,
