;//id,¼³¸í,±Ý¾×,Ãâ·Â ½ºÆ®¸µ
;id,desc,value,text
;string,string,int,string
KILL_FRIEND,¾Æ±º»ç»ì,-3300,CSO2_MONEY_KILL_FRIEND
KILL_5TIER,Àû»ç»ì5Æ¼¾î,300,CSO2_MONEY_KILL_3TIER
KILL_4TIER,Àû»ç»ì4Æ¼¾î,300,CSO2_MONEY_KILL_3TIER
KILL_3TIER,Àû»ç»ì3Æ¼¾î,300,CSO2_MONEY_KILL_3TIER
KILL_2TIER,Àû»ç»ì2Æ¼¾î,300,CSO2_MONEY_KILL_3TIER
KILL_1TIER,Àû»ç»ì1Æ¼¾î,300,CSO2_MONEY_KILL_3TIER
ASSIST,¾î½Ã½ºÆ®,50,CSO2_MONEY_ASSIST
INJURE_HOSTAGE,ÀÎÁú°ø°Ý,-150,CSO2_MONEY_INJURE_HOSTAGE
KILL_HOSTAGE,ÀÎÁú»ç»ì,-1500,CSO2_MONEY_KILL_HOSTAGE
HOSTAGE_WIN_ELIMINATE,ÀÎÁú_¼¶¸ê½Â¸®,3250,CSO2_MONEY_HOSTAGE_WIN_ELIMINATE
HOSTAGE_CONTACT,ÀÎÁú_ÀÎÁúÀÎµµ(ct),150,CSO2_MONEY_HOSTAGE_CONTACT
HOSTAGE_RESCUE,ÀÎÁú_ÀÎÁú±¸Ãâ(ct),300,CSO2_MONEY_HOSTAGE_RESCUE
HOSTAGE_RESCUE_HALF,ÀÎÁú_ÀÎÁú°ú¹Ý¼ö±¸Ãâ(ct),800,CSO2_MONEY_HOSTAGE_RESCUE_HALF
HOSTAGE_WIN_RESCUE_ALL,ÀÎÁú_ÀÎÁú±¸Ãâ·Î½Â¸®(ct),1400,CSO2_MONEY_HOSTAGE_WIN_RESCUE_ALL
HOSTAGE_WIN_TIMEOVER,ÀÎÁú_½Ã°£½Â¸®(tr),3250,CSO2_MONEY_HOSTAGE_WIN_TIMEOVER
HOSTAGE_DEFEAT,ÀÎÁú_ÆÐ¹è,0,CSO2_MONEY_HOSTAGE_DEFEAT
BOMB_INSTALL,ÆøÆÄ_C4¼³Ä¡½Ã(tr),300,CSO2_MONEY_BOMB_INSTALL
BOMB_DEFUSE,ÆøÆÄ_C4ÇØÁ¦½Ã(ct),300,CSO2_MONEY_BOMB_DEFUSE
BOMB_DEFEAT_AFTER_INSTALL,ÆøÆÄ_C4¼³Ä¡ÈÄÆÐ¹è(tr),800,CSO2_MONEY_BOMB_DEFEAT_AFTER_INSTALL
BOMB_WIN_ELIMINATE,ÆøÆÄ_¼¶¸ê½Â¸®,3250,CSO2_MONEY_BOMB_WIN_ELIMINATE
BOMB_WIN_EXPLODE,ÆøÆÄ_C4Æø¹ß½Â¸®(tr),3500,CSO2_MONEY_BOMB_WIN_EXPLODE
BOMB_WIN_UNINSTALL,ÆøÆÄ_C4ÇØÁ¦½Â¸®(ct),3500,CSO2_MONEY_BOMB_WIN_UNINSTALL
BOMB_WIN_TIMEOVER,ÆøÆÄ_½Ã°£½Â¸®(ct),3250,CSO2_MONEY_BOMB_WIN_TIMEOVER
DEFEAT,°øÅëÆÐ¹è,1400,CSO2_MONEY_DEFEAT
DEFEAT_2CONSECUTIVE,°øÅë2¿¬¼ÓÆÐ¹è,1900,CSO2_MONEY_DEFEAT_2CONSECUTIVE
DEFEAT_3CONSECUTIVE,°øÅë3¿¬¼ÓÆÐ¹è,2400,CSO2_MONEY_DEFEAT_3CONSECUTIVE
DEFEAT_4CONSECUTIVE,°øÅë4¿¬¼ÓÆÐ¹è,2900,CSO2_MONEY_DEFEAT_4CONSECUTIVE
DEFEAT_5CONSECUTIVE,°øÅë5¿¬¼ÓÀÌ»óÆÐ¹è,3400,CSO2_MONEY_DEFEAT_5CONSECUTIVE
BUY_ITEM,¹«±â±¸ÀÔ ,0,CSO2_MONEY_BUY_ITEM
ZC_HUMANSUPPORT,Á»ºñÄ¿¸Ç´õ_ÀÎ°£Ãø´Þ·¯Áö±Þ,4000,CSO2_MODE_ZC2_MONEY_HUMAN_SUPPORT
ZC_MASTERSUPPORT,Á»ºñÄ¿¸Ç´õ_Á»ºñÃø´Þ·¯Áö±Þ,350,CSO2_MODE_ZC2_MONEY_ZOMBIE_SUPPORT
ZZ_INITIAL_MONEY_SUPPORT,µ·¹ú·¹ ½ºÅ³¿¡ ÀÇÇÑ Áö±Þ,0,CSO2_MONEY_ZZ_INITIAL_MONEY_SUPPORT

