;È®·üÄ«µåid(itemid),È®·üÄ«µå ¸®¿öµå Å¸ÀÌÆ²,È®·üÄ«µå ¸®¿öµå ¼­ºêÅ¸ÀÌÆ²,±¸¼ºÇ° id,±¸¼ºÇ° °³¼ö,±¸¼ºÇ° ±â°£,ÀÏÁ¾ÀÇ È®·ü,Ä«µå´©Àû¼ö·®¿¡ µû¶ó weight°ª Áõ°¡½ÃÅ³ ¾ÆÀÌÅÛ ¿©ºÎ,Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(1Àå~10Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(11Àå~20Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(21Àå~30Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(31Àå~40Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(41Àå~50Àå),¾ÆÀÌÅÛ º° Áßº¹¹æÁö ¾ÆÀÌÅÛ(²ÎÅÛ),,
;card_id,reward_title,reward_title,item id,num,day,weight,add_weight_item,add_weight_per_section1,add_weight_per_section2,add_weight_per_section3,add_weight_per_section4,add_weight_per_section5,item id,num,day
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,1024,1,0,2,1,20,18,14,12,46,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5104,1,0,1,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5094,1,0,1,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,50004,1,0,2,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5062,1,0,5,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5056,1,0,5,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5045,1,0,5,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5059,1,0,5,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5044,1,0,5,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,5072,1,0,5,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,8004,1,0,9,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,8000,1,0,9,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,8002,1,0,9,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2008,1,0,9,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2013,5,0,10,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2019,1,0,10,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2023,1,1,10,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2021,1,1,10,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2011,1,0,11,0,100,100,100,100,100,2014,1,0
60001,#CSO2_ITEM_CARD_REWARD_NAME_CARRIE,#CSO2_ITEM_CARD_REWARD_DESC_CARRIE,2014,1,0,10,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,1025,1,0,2,1,20,18,14,12,46,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5147,1,0,1,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5109,1,0,1,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,50004,1,0,2,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5048,1,0,5,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5075,1,0,5,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5069,1,0,5,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5064,1,0,5,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5044,1,0,5,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,5057,1,0,5,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,8004,1,0,9,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,8000,1,0,9,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,8002,1,0,9,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2008,1,0,9,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2013,5,0,10,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2019,1,0,10,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2023,1,1,10,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2021,1,1,10,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2011,1,0,11,0,100,100,100,100,100,2014,1,0
60002,#CSO2_ITEM_CARD_REWARD_NAME_VIPER,#CSO2_ITEM_CARD_REWARD_DESC_VIPER,2014,1,0,10,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,1023,1,0,2,1,20,18,14,12,46,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5104,1,0,1,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5094,1,0,1,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,50004,1,0,2,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5062,1,0,5,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5056,1,0,5,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5045,1,0,5,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5059,1,0,5,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5044,1,0,5,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,5072,1,0,5,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,8004,1,0,9,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,8000,1,0,9,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,8002,1,0,9,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2008,1,0,9,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2013,5,0,10,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2019,1,0,10,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2023,1,1,10,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2021,1,1,10,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2011,1,0,11,0,100,100,100,100,100,2014,1,0
60003,#CSO2_ITEM_CARD_REWARD_NAME_TAMMY,#CSO2_ITEM_CARD_REWARD_DESC_TAMMY,2014,1,0,10,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,1022,1,0,2,1,20,18,14,12,46,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5147,1,0,1,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5109,1,0,1,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,50004,1,0,2,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5048,1,0,5,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5075,1,0,5,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5069,1,0,5,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5064,1,0,5,0,100,100,100,100,100,2014,1,0
