;//옵션 타입,허용타입(안전장치입니다),string key,허용모드 ,허용모드를 스킬 설명글에 표시할지 여부,인자갯수,string desc(no read),인자설명(no read),인자사용예(no read)
;id,type,key,mode,show_mode,param_count,desc,param_desc,param_ex
LIFE_ITEM_REWARD,weapon|acc|char|item,#ITEM_OPT_KEY_LIFE_ITEM_REWARD,,,0,라이프 아이템 영구보상,LIFE_ITEM_REWARD-텍스트만 뿌림,
CRITICAL,weapon,#ITEM_OPT_KEY_CRITICAL,36|44|45|46|48|57|65,1,2,크리티컬 확률 +%s1%%,"CRITICAL([크리티컬발생확률 0~100%],[크리티컬데미지 배율 1.0 ~])","CRITICAL(10,2.5)"
FALLDAMAGE,char,#ITEM_OPT_KEY_FALLDAMAGE,,1,1,낙하데미지 -%s1%% ,FALLDAMAGE([감소될 낙하데미지 0~100%]),FALLDAMAGE(50)
STATUE,weapon,#ITEM_OPT_KEY_STATUE,,1,1,적 사살시 %s1 동상으로 변함,STATUE([ICE 혹은 AMETHYST]),STATUE(ICE)
MOVESPEED,weapon|acc|char,#ITEM_OPT_KEY_MOVESPEED,36|44|45|46|48|57|65,1,1,이동속도 +%s1%%,MOVESPEED([증가될 이동속도 0~100%]),MOVESPEED(1)
POINTUP,weapon|acc|char|item,#ITEM_OPT_KEY_POINTUP,,1,1,포인트 +%s1%%,POINTUP([추가 포인트 0~250%]),POINTUP(50)
EXPUP,weapon|acc|char|item,#ITEM_OPT_KEY_EXPUP,,1,1,경험치 +%s1%%,EXPUP([추가 경험치 0~250%]),EXPUP(10)
Z_POINTUP,weapon|acc|char|item,#ITEM_OPT_KEY_POINTUP,3|36|37|44|45|46|48|57|53|61|65,1,1,포인트 +%s1%%,POINTUP([추가 포인트 0~250%]),POINTUP(50)
Z_EXPUP,weapon|acc|char|item,#ITEM_OPT_KEY_EXPUP,3|36|37|44|45|46|48|57|53|61|65,1,1,경험치 +%s1%%,EXPUP([추가 경험치 0~250%]),EXPUP(10)
EXPUPWITHTEAM,weapon|acc|char|item,#ITEM_OPT_KEY_EXPUPWITHTEAM,,1,2,"내 경험치 +%s1%%, 같은 방 플레이어 +%s2%%",EXPUPWITHTEAM([추가 경험치 0~100%]),"EXPUPWITHTEAM(200,100)"
WEAPONDROPOFF,weapon,#ITEM_OPT_KEY_WEAPONDROPOFF,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|53|54|55|56|57|60|61|62|63|64|65|66|67,1,0,무기드랍 불가,WEAPONDROPOFF,WEAPONDROPOFF
LIFE_ITEM_REWARD,weapon,#ITEM_OPT_KEY_LIFE_ITEM_REWARD,,0,0,라이프 아이템 보상,LIFEITEM,LIFEITEM
SKILL_AIRBOMBARDMENT,char,#ITEM_OPT_KEY_SKILL_AIRBOMBARDMENT,36|44|45|46|48|57|65,0,0,폭격지원 스킬,SKILL_AIRBOMBARDMENT,SKILL_AIRBOMBARDMENT
SKILL_HEALTHPACK,char,#ITEM_OPT_KEY_SKILL_HEALTHPACK,36|44|45|46|48|57|65,0,0,긴급구호 스킬,SKILL_HEALTHPACK,SKILL_HEALTHPACK
SKILL_BLOODSUCKING,char,#ITEM_OPT_KEY_SKILL_BLOODSUCKING,36|44|45|46|48|57|65,0,0,체력흡수 스킬,SKILL_BLOODSUCKING,SKILL_BLOODSUCKING
SKILL_FIREBLINDLY,char,#ITEM_OPT_KEY_SKILL_FIREBLINDLY,36|44|45|46|48|57|65,0,0,난사 스킬,SKILL_FIREBLINDLY,SKILL_FIREBLINDLY
SKILL_SPLASHATTACK,char,#ITEM_OPT_KEY_SKILL_SPLASHATTACK,36|44|45|46|48|57|65,0,0,확산탄 스킬,SKILL_SPLASHATTACK,SKILL_SPLASHATTACK
PASSIVE_DAMAGE_PLUS,char,#ITEM_OPT_KEY_PASSIVE_DAMAGE_PLUS,36|44|45|46|48|57|65,1,1,공격력 증가(패시브),PASSIVE_DAMAGE_PLUS([추가 공격력 0~]),PASSIVE_DAMAGE_PLUS(30)
PASSIVE_HEAL,weapon|char,#ITEM_OPT_KEY_PASSIVE_HEAL,36|44|45|46|48|57|65,1,1,체력 재생(패시브),PASSIVE_HEAL([회복력 0~100%]),PASSIVE_HEAL(0.00~1.00)
PASSIVE_RELOAD_SP_UP,weapon|char,#ITEM_OPT_KEY_PASSIVE_RELOAD_SP_UP,36|44|45|46|48|57|65,1,1,재장전 속도 증가(패시브),PASSIVE_RELOAD_SP_UP([증가속도 0~100%]),PASSIVE_RELOAD_SP_UP(0.00~1.00)
HEADSHOT_EXP,rdc,#ITEM_OPT_KEY_HEADSHOT_EXP,36|44|45|46|48|57|65,0,1,"헤드샷일 경우 %s1킬당 추가 경험치 %s2%획득, 최대 %s3%획득",,
HEADSHOT_DOLLOR,rdc,#ITEM_OPT_KEY_HEADSHOT_DOLLOR,36|44|45|46|48|57|65,0,1,헤드샷을 통해 얻게되는 달러 %s1%%증가,,
MAIN_WEAPON_PENETRATION,rdc,#ITEM_OPT_KEY_MAIN_WEAPON_PENETRATION,36|44|45|46|48|57|65,0,1,주무기 관통력 %s1%%증가,,
MAIN_WEAPON_DAMAGE,rdc,#ITEM_OPT_KEY_MAIN_WEAPON_DAMAGE,36|44|45|46|48|57|65,0,1,주무기 데미지 %s1%%증가,,
UPGRADE_DOLLOR_DECREASE,rdc,#ITEM_OPT_KEY_UPGRADE_DOLLOR_DECREASE,36|44|45|46|48|57|65,0,1,업그레이드에 필요한 달러? %s1%%감소,,
MG_MOVESPEED_INCREASE,rdc,#ITEM_OPT_KEY_MG_MOVESPEED_INCREASE,36|44|45|46|48|57|65,0,1,중화기를 휴대했을때 이동속도 %s1%%증가 ,,
SS_GRADE_WEAPON_KILL_POINTBONUS,rdc,#ITEM_OPT_KEY_SS_GRADE_WEAPON_KILL_POINTBONUS,36|44|45|46|48|57|65,0,1,"SS급 무기를 장착시 %s1킬마다 %s2%포인트 보너스 획득, 최대 %s3%획득",,
NORMAL_ZOMBIE_DAMAGE_DECREASE,rdc,#ITEM_OPT_KEY_NORMAL_ZOMBIE_DAMAGE_DECREASE,36|44|45|46|48|57|65,0,1,일반좀비 공격에 의한 피해 %s1%%감소,,
BOSS_DAMAGE_DECREASE,rdc,#ITEM_OPT_KEY_BOSS_DAMAGE_DECREASE,36|44|45|46|48|57|65,0,1,보스공격에 의한 피해 %s1%%감소,,
PVE_MOVESPEED_INCREASE,rdc,#ITEM_OPT_KEY_PVE_MOVESPEED_INCREASE,36|44|45|46|48|57|65,0,1,이동속도 %s1%%증가,,
ABSORB_HP,rdc,#ITEM_OPT_KEY_ABSORB_HP,36|44|45|46|48|57|65,0,1,명중시 데미지의 %s1%% 만큼 체력회복,,
ABSORB_HP_BY_PISTOL,rdc,#ITEM_OPT_KEY_ABSORB_HP_BY_PISTOL,36|44|45|46|48|57|65,0,1,권총으로 명중시 데미지의 %s1%% 만큼 체력회복,,
GET_DOLLOR_INCREASE,rdc,#ITEM_OPT_KEY_GET_DOLLOR_INCREASE,36|44|45|46|48|57|65,0,1,달러획득량 %s1%%증가,,
HEADSHOT_BOSS_DAMAGE_INCREASE,rdc,#ITEM_OPT_KEY_HEADSHOT_BOSS_DAMAGE_INCREASE,36|44|45|46|48|57|65,0,1,보스 헤드샷 데미지 %s1%%증가,,
HEAL_SPEED_INCREASE,rdc,#ITEM_OPT_KEY_HEAL_SPEED_INCREASE,36|44|45|46|48|57|65,0,1,체력회복속도 %s1%%증가,,
DEFAULT_HP_BONUS,rdc,#ITEM_OPT_KEY_DEFAULT_HP_BONUS,36|44|45|46|48|57|65,0,1,기본체력+%s1,,
MAIN_WEAPON_RPM_INCREASE,rdc,#ITEM_OPT_KEY_MAIN_WEAPON_RPM_INCREASE,36|44|45|46|48|57|65,0,1,주무기 연사속도 %s1%%증가,,
GET_SPEED_CHAR_SKILLPOINT_INCREASE,rdc|weapon,#ITEM_OPT_KEY_GET_SPEED_CHAR_SKILLPOINT_INCREASE,36|44|45|46|48|57|65,0,1,캐릭터 스킬포인트 획득속도 %s1%%증가,,
DEFAULT_DOLLOR_BONUS,rdc,#ITEM_OPT_KEY_DEFAULT_DOLLOR_BONUS,36|44|45|46|48|57|65,0,1,게임시작시 초기달러 +%s1,,
NORMAL_ZOMBIE_COOLTIME_DECREASE,rdc,#ITEM_OPT_KEY_NORMAL_ZOMBIE_COOLTIME_DECREASE,36|44|45|46|48|57|65,0,1,일반좀비 생성시간 %s1초 감소,,
NORMAL_ZOMBIE_SLOT_INCREASE,rdc,#ITEM_OPT_KEY_NORMAL_ZOMBIE_SLOT_INCREASE,36|44|45|46|48|57|65,0,1,일반좀비 생산개체수 %s1 증가,,
NORMAL_ZOMBIE_HP_INCREASE,rdc,#ITEM_OPT_KEY_NORMAL_ZOMBIE_HP_INCREASE,36|44|45|46|48|57|65,0,1,일반좀비 기본체력 %s1증가,,
NORMAL_ZOMBIE_AD_INCREASE,rdc,#ITEM_OPT_KEY_NORMAL_ZOMBIE_AD_INCREASE,36|44|45|46|48|57|65,0,1,일반좀비 기본공격력 %s1증가,,
STRONG_ZOMBIE_HP_INCREASE,rdc,#ITEM_OPT_KEY_STRONG_ZOMBIE_HP_INCREASE,36|44|45|46|48|57|65,0,1,강화좀비 기본체력 %s1증가,,
STRONG_ZOMBIE_PRODUCTIVITY_TIME_DECREASE,rdc,#ITEM_OPT_KEY_STRONG_ZOMBIE_PRODUCTIVITY_TIME_DECREASE,36|44|45|46|48|57|65,0,1,강화좀비 생산시간 %s1 감소,,
RANGE_ZOMBIE_SLOT_INCREASE,rdc,#ITEM_OPT_KEY_RANGE_ZOMBIE_SLOT_INCREASE,36|44|45|46|48|57|65,0,1,투척좀비 생산개체수 %s1 증가,,
RANGE_ZOMBIE_RANGE_INCREASE,rdc,#ITEM_OPT_KEY_RANGE_ZOMBIE_RANGE_INCREASE,36|44|45|46|48|57|65,0,1,투척좀비 사정거리 %s1 증가,,
STRENGTHEN_CHARGE_DECREASE,rdc,#ITEM_OPT_KEY_STRENGTHEN_CHARGE_DECREASE,36|44|45|46|48|57|65,0,1,좀비강화 비용 %s1%% 감소,,
GET_VIRUS_INCREASE,rdc,#ITEM_OPT_KEY_GET_VIRUS_INCREASE,36|44|45|46|48|57|65,0,1,초당 바이러스획득량 %s1증가,,
MAX_VIRUS_INCREASE,rdc,#ITEM_OPT_KEY_MAX_VIRUS_INCREASE,36|44|45|46|48|57|65,0,1,최대 바이러스 %s1 증가,,
TIME_FOR_CAPTURE_INCREASE,rdc,#ITEM_OPT_KEY_TIME_FOR_CAPTURE_INCREASE,36|44|45|46|48|57|65,0,1,인간 점령필요시간 %s1초 상승,,
EXPLOSION_ZOMBIE_AD_INCREASE,rdc,#ITEM_OPT_KEY_EXPLOSION_ZOMBIE_AD_INCREASE,36|44|45|46|48|57|65,0,1,폭발좀비 데미지 %s1%% 증가,,
EXPLOSION_ZOMBIE_EXPLOSION_RANGE_INCREASE,rdc,#ITEM_OPT_KEY_EXPLOSION_ZOMBIE_EXPLOSION_RANGE_INCREASE,36|44|45|46|48|57|65,0,1,폭발좀비 폭발범위 %s1%% 증가,,
HULK_ZOMBIE_COSTS_DECREASE,rdc,#ITEM_OPT_KEY_HULK_ZOMBIE_COSTS_DECREASE,36|44|45|46|48|57|65,0,1,덩치좀비 생산비용 %s1%%감소,,
HULK_ZOMBIE_SLOT_DECREASE,rdc,#ITEM_OPT_KEY_HULK_ZOMBIE_SLOT_DECREASE,36|44|45|46|48|57|65,0,1,덩치좀비 인구수 %s1 감소,,
WATT_ZOMBIE_HP_INCREASE,rdc,#ITEM_OPT_KEY_WATT_ZOMBIE_HP_INCREASE,36|44|45|46|48|57|65,0,1,와트좀비 기본체력 %s1증가,,
WATT_ZOMBIE_COOLTIME_DECREASE,rdc,#ITEM_OPT_KEY_WATT_ZOMBIE_COOLTIME_DECREASE,36|44|45|46|48|57|65,0,1,와트좀비 생산시간 %s1초 감소,,
ALBERT_SLOT_DECREASE,rdc,#ITEM_OPT_KEY_ALBERT_SLOT_DECREASE,36|44|45|46|48|57|65,0,1,알버트 인구수 %s1 감소,,
ALL_ZOMBIE_COOLTIME_DECREASE,rdc,#ITEM_OPT_KEY_ALL_ZOMBIE_COOLTIME_DECREASE,36|44|45|46|48|57|65,0,1,모든 좀비 생산시간 %s1%% 감소,,
BURNING_ZOMBIE,rdc,#ITEM_OPT_KEY_BURNING_ZOMBIE,36|44|45|46|48|57|65,0,0,불타는 좀비로 진화,,
BURNING_DOG,rdc,#ITEM_OPT_KEY_BURNING_DOG,36|44|45|46|48|57|65,0,0,불타는 좀비견으로 진화,,
GET_BONUSVIRUS_PER_KILL,rdc,#ITEM_OPT_KEY_GET_BONUSVIRUS_PER_KILL,36|44|45|46|48|57|65,0,1,인간 사살시 바이러스 %s1 추가획득,,
GET_POINT_PER_KILL,rdc,#ITEM_OPT_KEY_GET_POINT_PER_KILL,36|44|45|46|48|57|65,0,1,인간사살 시 추가 포인트 %s1%% 획득,,
GET_EXP_PER_KILL,rdc,#ITEM_OPT_KEY_GET_EXP_PER_KILL,36|44|45|46|48|57|65,0,1,인간사살 시 추가 경험치 %s1%% 획득,,
ZOMBIE_COMMANDER_MAX_SLOT_INCREASE,rdc,#ITEM_OPT_KEY_ZOMBIE_COMMANDER_MAX_SLOT_INCREASE,36|44|45|46|48|57|65,0,1,커맨더 최대인구수 %s1 증가,,
HIDE_REDUCE_DMG,weapon,#ITEM_OPT_KEY_HIDE_REDUCE_DMG,50,1,1,체력 패널티 %s1% 감소,,
ZZ_CHAIN_LIGHTNING,weapon,#ITEM_OPT_KEY_ZZ_CHAIN_LIGHTNING,53|61|63,0,0,좀비Z 체인라이트닝 스킬 적용,,
ZZ_TRANSFORM_LIGHT_ZOMBIE,item,#ITEM_OPT_KEY_ZZ_TRANSFORM_LIGHT_ZOMBIE,53|61,0,0,,,
ZZ_TRANSFORM_MAX_ZOMBIE,item,#ITEM_OPT_KEY_ZZ_TRANSFORM_MAX_ZOMBIE,53|61,0,0,,,
DEATH_MDL_CHG,weapon,#ITEM_OPT_KEY_DEATH_MDL,,0,1,"적 사살 시, %s1 모델로 변경 ",DEATH_MDL_CHG(DDONG),
DMG_DISSOLVE,weapon,#ITEM_OPT_KEY_DMG_DISSOLVE,,1,0,적 사살 시 대상을 인수 분해,,DMG_DISSOLVE
ZZ_FIRE_SALAMANDER,weapon,#ITEM_OPT_KEY_ZZ_FIRE_SALAMANDER,53|61|63,1,0,좀비Z 불도룡뇽스킬,,
IGNITION_ON_BODY,weapon,#ITEM_OPT_KEY_IGNITION_ON_BODY,36|44|45|46|48|57|65,1,1,몸에 불 붙이기,,
BLOOD_CHANGE,weapon,#ITEM_OPT_KEY_BLOOD_CHANGE,,0,1,혈흔 효과 변경,BLOOD_CHANGE(BAMBOO) ,
ZZ_STICKYPOOL,weapon,#ITEM_OPT_KEY_ZZ_STICKYPOOL,53|63,1,0,좀비Z 점성 웅덩이 스킬,,
ZZ_OVER_CHARGE,weapon,#ITEM_OPT_KEY_ZZ_OVER_CHARGE,53|63,1,0,좀비Z 과충전 스킬,,
MAX_PENETRATION,weapon,#ITEM_OPT_KEY_MAX_PENETRATION,36|44|45|46|48|57|65,1,0,관통 패널티 제외,,
ZZ_PHOENIX,weapon,#ITEM_OPT_KEY_ZZ_PHOENIX,,1,0,좀비Z 불사조 스킬,,
ZZ_EXECUTION,weapon,#ITEM_OPT_KEY_ZZ_EXECUTION,,1,0,좀비Z 처형 스킬,,
ZZ_HEATUP,weapon,#ITEM_OPT_KEY_ZZ_HEATUP,36|44|45|46|48|57|65|53|61|63,0,3,힛업 (좀비Z 및 좀비크러쉬),첫 연사 데미지 보너스 _ 데미지 증가치 _ 데미지가 증가하기 위해 적을 맞춰야 하는 횟수,"ZZ_HEATUP(2,1,2)"
ZZ_ENERGY_BALL,weapon,#ITEM_OPT_KEY_ZZ_ENERGY_BALL,53|61|63,1,0,좀비Z 에너지볼스킬,,

