;//스킬인덱스,//스킬이름,//경험치 플러스,//경험치퍼센트,//경험치즉시지급,//포인트 플러스,//포인트 퍼센트,//포인트 즉시지급,//마스터,//숙련포인트,//아이콘,// 헬프텍스트1,// 헬프텍스트2,// 설명 텍스트,// 특수스킬,// 1레벨 필요 SP,// 2레벨 필요 SP,// 3레벨 필요 SP,// 4레벨 필요 SP,// 5레벨 필요 SP
;SkillID,SkillName,ExpPlus,ExpPer,ExpGive,PointPlus,PointPer,PointGive,Master,SkillPoint,IconLink,HelpText1,HelpText2,Description,Special,Lv1_SP,Lv2_SP,Lv3_SP,Lv4_SP,Lv5_SP
;int,string,int,int,int,int,int,int,int,int,int,string,string,string,int,int,int,int,int,int
1,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,5,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
2,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_10,10,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
3,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_15,15,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
4,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_20,20,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_25,25,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
6,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_30,30,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
7,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_35,35,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
8,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_40,40,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
9,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_45,45,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
10,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_50,50,0,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
11,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_2P,0,2,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
