;index,mileage,itemid,num,day,isUse,bSpecial,startTime,endTime,RelationProductID,//참고설명
1,2000,2014,1,0,1,FALSE,,,5000001,골드코인 1개
2,4320,2008,10,0,1,FALSE,,,5000002,실버코인 10개
;// 3,9000,50002,5,0,1,FALSE,,,5000003,행운의 파란상자 5개
;// 4,16000,2011,20,0,1,FALSE,,,5000004,서버확성기 20개
5,34000,10063,1,0,1,FALSE,,,5000005,스파르탄 헬멧
6,50000,5121,1,0,1,FALSE,,,5000006,월터 실버
7,80000,20044,1,0,1,FALSE,,,5000007,황금날개
8,100000,5119,1,0,1,FALSE,,,5000008,아나콘다 골드
9,150000,147,1,0,1,TRUE,2017-11-01 0:00,2018-04-26  23:59:59 PM,5000009,TMP Melt
10,140000,5319,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000010,TMP Melt Prototype
11,100000,1047,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000011,수영복 엠마
12,100000,1048,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000012,수영복 타미
13,90000,1030,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000013,콴
14,90000,1031,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000014,하싼
15,60000,5230,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000015,Net Launcher gold (그물총 골드)
16,60000,5231,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000016,Harpoon gold(작살 골드)
17,50000,10077,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000017,수박모자
18,50000,20062,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5000018,홍학튜브
19,150000,137,1,0,1,TRUE,2017-10-01 0:00,2018-04-26  23:59:59 PM,5000019,Benelli M3 Dragon
20,140000,5282,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000020,Benelli M3 Dragon Prototype
21,90000,1043,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000021,헬가
22,90000,1044,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000022,나오미
23,100000,1037,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000023,미유
24,100000,1038,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000024,아테나
25,50000,5254,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000025,고양이무선마이크
26,50000,5255,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000026,터보블레이드
27,150000,127,1,0,1,TRUE,2017-10-01 0:00,2018-04-26  23:59:59 PM,5000027,AI AWM Gauss
28,140000,5244,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000028,AI AWM Gauss Prototype
29,60000,5253,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000029,황금뿅망치
30,200000,150,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000040,m99railgun
31,180000,5338,1,0,1,TRUE,2018-02-08 0:00,2018-04-26  23:59:59 PM,5000041,m99railgun Prototype
100,11000,5291,1,0,1,TRUE,2017-04-01 0:00,2018-04-26  23:59:59 PM,5100001,QBZ-95 Panda
101,11000,5302,1,0,1,TRUE,2017-05-01 0:00,2018-04-26  23:59:59 PM,5100002,QJY-88 Panda
102,11000,5306,1,0,1,TRUE,2017-06-01 0:00,2018-04-26  23:59:59 PM,5100003,Striker12 New Panda
103,11000,5314,1,0,1,TRUE,2017-07-01 0:00,2018-04-26  23:59:59 PM,5100004,M60E4 New Panda
104,11000,5320,1,0,1,TRUE,2017-08-01 0:00,2018-04-26  23:59:59 PM,5100005,P90 New Panda
105,11000,5331,1,0,1,TRUE,2017-09-01 0:00,2018-04-26  23:59:59 PM,5100006,akm New Panda
106,11000,5340,1,0,1,TRUE,2017-10-01 0:00,2018-04-26  23:59:59 PM,5100007,mk18 New Panda

