;//아이디,//이름,//설명,//코드출력주소,//활성화조건(필요누적연구비),"//진영(0 : 인간, 1 : 좀비커맨더)",//최대레벨,//LV1,//LV2,//LV3,//LV4,//LV5,//아이콘 ID,//주석1,//주석2
;id,name,optionkey,code_address,activate_condition,team,Maxlevel,lv1,lv2,lv3,lv4,lv5,resource_id,,
1,CSO2_HUMAN_CODENAME_01,DEFAULT_HP_BONUS,"b,1",0,0,5,25,50,75,125,200,code_stamina,기초체력,기본체력+%s1
2,CSO2_HUMAN_CODENAME_02,HEADSHOT_EXP,"b,4",1,0,5,"20,1,10","30,2,10","40,3,15","50,4,20","50,5,20",code_headshot,명사수,"헤드샷 %s1킬당 추가 경험치 %s2%획득, 최대 %s3%획득"
3,CSO2_HUMAN_CODENAME_03,HEADSHOT_DOLLOR,"c,2",1,0,5,10,30,50,70,100,code_hunter,현상금사냥꾼,헤드샷을 통해 얻게되는 달러 %s1%증가
;//4,CSO2_HUMAN_CODENAME_04,MAIN_WEAPON_PENETRATION,"c,13",0,0,5,10,15,30,50,80,code_ammo,관통탄알,주무기 관통력 %s1%증가
5,CSO2_HUMAN_CODENAME_05,UPGRADE_DOLLOR_DECREASE,"b,2",1,0,5,2.5,5,7.5,10,12.5,code_taxfree,긴축재정,업그레이드에 필요한 달러 %s1%감소
6,CSO2_HUMAN_CODENAME_06,NORMAL_ZOMBIE_DAMAGE_DECREASE,"d,2",5,0,5,10,15,20,25,30,code_defence,좀비내성,일반좀비 공격에 의한 피해 %s1%감소
7,CSO2_HUMAN_CODENAME_07,MAIN_WEAPON_RPM_INCREASE,"e,2",5,0,5,1,1.8,2.6,3.5,5,code_rapidfire,속사포,주무기 연사속도 %s1%증가
;//8,CSO2_HUMAN_CODENAME_08,SS_GRADE_WEAPON_KILL_POINTBONUS,"c,14",0,0,5,"150,0.1,5","150,0.2,5","150,0.5,5","150,0.8,5","150,1,8",code_ssgradeweapon,특급사수,"S급이상 무기를 장착시 %s1킬마다 %s2%포인트 보너스 획득, 최대 %s3%획득"
9,CSO2_HUMAN_CODENAME_09,MAIN_WEAPON_DAMAGE,"d,3",15,0,5,1.5,3,4.8,6.7,8,code_ammo2,강화탄알,주무기 데미지? %s1%증가
10,CSO2_HUMAN_CODENAME_10,ABSORB_HP_BY_PISTOL,"c,4",15,0,5,1,1.5,2,2.5,3.5,code_vampire,뱀파이어,권총으로 헤드샷 명중시 데미지의 %s1% 만큼 체력회복
;//11,CSO2_HUMAN_CODENAME_11,MG_MOVESPEED_INCREASE,"c,5",25,0,5,1,2,3,4,5,code_mg,중무장침투,중화기를 휴대했을때 이동속도 %s1%증가 
;//12,CSO2_HUMAN_CODENAME_12,BOSS_DAMAGE_DECREASE,"c,6",30,0,5,1,2,3,4,5,code_defence2,드래곤내성,보스공격에 의한 피해 %s1%감소
;//13,CSO2_HUMAN_CODENAME_13,PVE_MOVESPEED_INCREASE,"c,7",0,0,5,1,3,5,10,15,code_squat,하체훈련,이동속도 %s1%증가
;//14,CSO2_HUMAN_CODENAME_14,GET_DOLLOR_INCREASE,"c,8",0,0,5,1,2,3,4,5,code_ctu,인센티브,달러획득량 %s1%증가
;//15,CSO2_HUMAN_CODENAME_15,HEADSHOT_BOSS_DAMAGE_INCREASE,"c,9",0,0,5,1,2,3,4,5,code_takeaim,드래곤헤드,보스 헤드샷 데미지 %s1%증가
;//16,CSO2_HUMAN_CODENAME_16,HEAL_SPEED_INCREASE,"c,10",0,0,5,1,2,3,4,5,code_picolo,체력회복,체력회복속도 %s1%증가
;//17,CSO2_HUMAN_CODENAME_17,GET_SPEED_CHAR_SKILLPOINT_INCREASE,"c,11",0,0,5,1,2,3,4,5,code_utility,빠른스킬,캐릭터 스킬포인트 획득속도 %s1%증가
;//18,CSO2_HUMAN_CODENAME_18,DEFAULT_DOLLOR_BONUS,"c,12",0,0,5,5000,10000,15000,20000,30000,code_ctusupply,초기자금,게임시작시 초기달러 +%s1
;//101,CSO2_ZOMBIE_CODENAME_101,NORMAL_ZOMBIE_COOLTIME_DECREASE | NORMAL_ZOMBIE_SLOT_INCREASE,"e,5",0,1,5,0.2|1,0.4|2,0.6|3,0.8|4,1|5,code_blackegg,검은알,"좀비 생성시간 %s1초 감소, 생산개체수 %s2 증가"
102,CSO2_ZOMBIE_CODENAME_102,NORMAL_ZOMBIE_HP_INCREASE | NORMAL_ZOMBIE_AD_INCREASE,"d,1",0,1,5,2|3,4|5,6|8,8|12,10|15,code_ironegg,무쇠알,"좀비 기본체력 %s1% 증가, 기본 공격력 %s2% 증가"
103,CSO2_ZOMBIE_CODENAME_103,RANGE_ZOMBIE_SLOT_INCREASE | RANGE_ZOMBIE_RANGE_INCREASE,"e,1",1,1,5,1|10,2|15,3|30,3|40,3|50,code_poison,독주머니,"투척좀비 생산개체수 %s1증가, 사정거리 %s2 증가"
104,CSO2_ZOMBIE_CODENAME_104,EXPLOSION_ZOMBIE_AD_INCREASE | EXPLOSION_ZOMBIE_EXPLOSION_RANGE_INCREASE,"d,2",3,1,5,2|5,4|10,6|15,8|20,10|25,code_fireball,화염구,"폭발좀비 데미지 %s1%, 데미지 범위 %s2% 증가"
105,CSO2_ZOMBIE_CODENAME_105,HULK_ZOMBIE_COSTS_DECREASE,"d,3",10,1,5,5,8,12,15,20,code_threedragon,삼룡이,덩치좀비 생산비용 %s1%감소
106,CSO2_ZOMBIE_CODENAME_106,HULK_ZOMBIE_SLOT_DECREASE,"c,4",10,1,5,1,2,3,4,5,code_sixdragon,육룡이,덩치좀비 인구수 %s1 감소
107,CSO2_ZOMBIE_CODENAME_107,ALL_ZOMBIE_COOLTIME_DECREASE,"b,3",10,1,5,3,5,8,12,20,code_hourglass,모래시계,모든 좀비 생산시간 %s1% 감소
108,CSO2_ZOMBIE_CODENAME_108,MAX_VIRUS_INCREASE,"b,4",25,1,5,100,200,300,400,500,code_dinner,진수성찬,최대 바이러스 %s1 증가
109,CSO2_ZOMBIE_CODENAME_109,ZOMBIE_COMMANDER_MAX_SLOT_INCREASE,"a,2",25,1,5,3,5,10,15,20,code_dragonnest,용의둥지,커맨더 최대인구수 %s1 증가
110,CSO2_ZOMBIE_CODENAME_110,STRENGTHEN_CHARGE_DECREASE,"e,3",30,1,5,2,4,6,8,10,code_ironscales,강철비늘,좀비강화 비용 %s1% 감소
;//111,CSO2_ZOMBIE_CODENAME_111,STRONG_ZOMBIE_HP_INCREASE | STRONG_ZOMBIE_PRODUCTIVITY_TIME_DECREASE,"e,4",30,1,5,1|1,2|2,3|3,4|4,5|5,code_claw,송곳발톱,"강화좀비 기본체력 %s1증가, 생산시간 %s2 감소"
