//원래파일,대체할파일,타입
Origin,Proxy,Type
string,string,string
models/player/ct_lisa01/ct_lisa01.mdl,models/player/ct_lisa/ct_lisa.mdl,model
models/player/ct_choi/ct_choi.mdl,models/player/ct_lisa/ct_lisa.mdl,model
models/player/ct_mari/ct_mari.mdl,models/player/ct_lisa/ct_lisa.mdl,model
models/player/ct_lincoln/ct_lincoln.mdl,models/player/ct_gign/ct_gign.mdl,model
models/player/ct_michael/ct_michael.mdl,models/player/ct_gign/ct_gign.mdl,model
models/player/ct_twmarin/ct_twmarin.mdl,models/player/ct_gign/ct_gign.mdl,model
,,
models/player/ct_lisa01/hand/hand_lisa01.mdl,models/player/ct_lisa/hand/hand_lisa.mdl,model
models/player/ct_choi/hand/hand_choi.mdl,models/player/ct_lisa/hand/hand_lisa.mdl,model
models/player/ct_mari/hand/hand_mari.mdl,models/player/ct_lisa/hand/hand_lisa.mdl,model
models/player/ct_lincoln/hand/hand_lincoln.mdl,models/player/ct_gign/hand/hand_gign.mdl,model
models/player/ct_michael/hand/hand_michael.mdl,models/player/ct_gign/hand/hand_gign.mdl,model
models/player/ct_twmarin/hand/hand_twmarin.mdl,models/player/ct_gign/hand/hand_gign.mdl,model
,,
models/player/tr_yuri/tr_yuri.mdl,models/player/tr_mila/tr_mila.mdl,model
models/player/tr_natary/tr_natary.mdl,models/player/tr_mila/tr_mila.mdl,model
models/player/tr_mila01/tr_mila01.mdl,models/player/tr_mila/tr_mila.mdl,model
models/player/tr_mao/tr_mao.mdl,models/player/tr_leet/tr_leet.mdl,model
models/player/tr_karachenko/tr_karachenko.mdl,models/player/tr_leet/tr_leet.mdl,model
models/player/tr_leet01/tr_leet01.mdl,models/player/tr_leet/tr_leet.mdl,model
,,
models/player/tr_yuri/hand/hand_yuri.mdl,models/player/tr_mila/hand/hand_mila.mdl,model
models/player/tr_natary/hand/hand_natary.mdl,models/player/tr_mila/hand/hand_mila.mdl,model
models/player/tr_mila01/hand/hand_mila01.mdl,models/player/tr_mila/hand/hand_mila.mdl,model
models/player/tr_mao/hand/hand_mao.mdl,models/player/tr_leet/hand/hand_leet.mdl,model
models/player/tr_karachenko/hand/hand_karachenko.mdl,models/player/tr_leet/hand/hand_leet.mdl,model
models/player/tr_leet01/hand/hand_leet01.mdl,models/player/tr_leet/hand/hand_leet.mdl,model
,,
player/ChoiJiYun_BigHurt_1.mp3,player/Female_BigHurt_1.wav,sound
player/ChoiJiYun_BigHurt_2.mp3,player/Female_BigHurt_2.wav,sound
player/ChoiJiYun_BigHurt_3.mp3,player/Female_BigHurt_3.wav,sound
player/ChoiJiYun_BigHurt_4.mp3,player/Female_BigHurt_1.wav,sound
player/ChoiJiYun_BigHurt_5.mp3,player/Female_BigHurt_2.wav,sound
player/ChoiJiYun_Death_1.mp3,player/Female_Death_1.wav,sound
player/ChoiJiYun_Death_2.mp3,player/Female_Death_2.wav,sound
player/ChoiJiYun_Death_3.mp3,player/Female_Death_1.wav,sound
player/ChoiJiYun_Hurt_1.mp3,player/Female_Hurt_1.wav,sound
player/ChoiJiYun_Hurt_2.mp3,player/Female_Hurt_2.wav,sound
player/ChoiJiYun_Hurt_3.mp3,player/Female_Hurt_3.wav,sound
player/ChoiJiYun_Hurt_4.mp3,player/Female_Hurt_1.wav,sound
player/ChoiJiYun_Hurt_5.mp3,player/Female_Hurt_2.wav,sound
player/ChoiJiYun_Hurt_6.mp3,player/Female_Hurt_3.wav,sound
player/ChoiJiYun_Hurt_7.mp3,player/Female_Hurt_1.wav,sound
player/ChoiJiYun_Hurt_8.mp3,player/Female_Hurt_2.wav,sound
UI/UI_choi/ui_change_weapon_choi_1.mp3,,sound
UI/UI_choi/ui_change_weapon_choi_2.mp3,,sound
UI/UI_choi/ui_select_characters_choi_1.mp3,,sound
UI/UI_choi/ui_select_characters_choi_2.mp3,,sound
UI/UI_choi/ui_wating_count_end_choi_1.mp3,,sound
UI/UI_choi/ui_wating_count_end_choi_2.mp3,,sound
,,
player/Yuri_BIgHurt_1.mp3,player/Female_BigHurt_1.wav,sound
player/Yuri_BIgHurt_2.mp3,player/Female_BigHurt_2.wav,sound
player/Yuri_BIgHurt_3.mp3,player/Female_BigHurt_3.wav,sound
player/Yuri_BIgHurt_4.mp3,player/Female_BigHurt_1.wav,sound
player/Yuri_BIgHurt_5.mp3,player/Female_BigHurt_2.wav,sound
player/Yuri_Death_1.mp3,player/Female_Death_1.wav,sound
player/Yuri_Death_2.mp3,player/Female_Death_2.wav,sound
player/Yuri_Death_3.mp3,player/Female_Death_1.wav,sound
player/Yuri_Hurt_1.mp3,player/Female_Hurt_1.wav,sound
player/Yuri_Hurt_2.mp3,player/Female_Hurt_2.wav,sound
player/Yuri_Hurt_3.mp3,player/Female_Hurt_3.wav,sound
player/Yuri_Hurt_4.mp3,player/Female_Hurt_1.wav,sound
player/Yuri_Hurt_5.mp3,player/Female_Hurt_2.wav,sound
player/Yuri_Hurt_6.mp3,player/Female_Hurt_3.wav,sound
player/Yuri_Hurt_7.mp3,player/Female_Hurt_1.wav,sound
UI/Ui_yuri/ui_change_weapon_yuri_1.mp3,,sound
UI/Ui_yuri/ui_change_weapon_yuri_2.mp3,,sound
UI/Ui_yuri/ui_select_characters_yuri_1.mp3,,sound
UI/Ui_yuri/ui_select_characters_yuri_2.mp3,,sound
UI/Ui_yuri/ui_wating_count_end_yuri_1.mp3,,sound
UI/Ui_yuri/ui_wating_count_end_yuri_2.mp3,,sound
,,
player/Linclon_BigHurt_1.mp3,player/Male_BigHurt_1.wav,sound
player/Linclon_BigHurt_2.mp3,player/Male_BigHurt_2.wav,sound
player/Linclon_BigHurt_3.mp3,player/Male_BigHurt_3.wav,sound
player/Linclon_BigHurt_4.mp3,player/Male_BigHurt_1.wav,sound
player/Linclon_Death_1.mp3,player/Male_Death_1.wav,sound
player/Linclon_Death_2.mp3,player/Male_Death_2.wav,sound
player/Linclon_Death_3.mp3,player/Male_Death_1.wav,sound
player/Linclon_Death_4.mp3,player/Male_Death_2.wav,sound
player/Linclon_Hurt_1.mp3,player/Male_Hurt_1.wav,sound
player/Linclon_Hurt_2.mp3,player/Male_Hurt_2.wav,sound
player/Linclon_Hurt_3.mp3,player/Male_Hurt_3.wav,sound
player/Linclon_Hurt_4.mp3,player/Male_Hurt_1.wav,sound
player/Linclon_Hurt_5.mp3,player/Male_Hurt_2.wav,sound
UI/UI_linclon/ui_change_weapon_linclon_1.mp3,,sound
UI/UI_linclon/ui_change_weapon_linclon_2.mp3,,sound
UI/UI_linclon/ui_select_characters_linclon_1.mp3,,sound
UI/UI_linclon/ui_select_characters_linclon_2.mp3,,sound
UI/UI_linclon/ui_select_characters_linclon_3.mp3,,sound
UI/UI_linclon/ui_wating_count_end_linclon_1.mp3,,sound
UI/UI_linclon/ui_wating_count_end_linclon_2.mp3,,sound
,,
player/Mao_BigHurt_1.mp3,player/Male_BigHurt_1.wav,sound
player/Mao_BigHurt_2.mp3,player/Male_BigHurt_2.wav,sound
player/Mao_BigHurt_3.mp3,player/Male_BigHurt_3.wav,sound
player/Mao_BigHurt_4.mp3,player/Male_BigHurt_1.wav,sound
player/Mao_BigHurt_5.mp3,player/Male_BigHurt_2.wav,sound
player/Mao_BigHurt_6.mp3,player/Male_BigHurt_3.wav,sound
player/Mao_Death_1.mp3,player/Male_Death_1.wav,sound
player/Mao_Death_2.mp3,player/Male_Death_2.wav,sound
player/Mao_Death_3.mp3,player/Male_Death_1.wav,sound
player/Mao_Death_4.mp3,player/Male_Death_2.wav,sound
player/Mao_Death_5.mp3,player/Male_Death_1.wav,sound
player/Mao_Hurt_1.mp3,player/Male_Hurt_1.wav,sound
player/Mao_Hurt_2.mp3,player/Male_Hurt_2.wav,sound
player/Mao_Hurt_3.mp3,player/Male_Hurt_3.wav,sound
player/Mao_Hurt_4.mp3,player/Male_Hurt_1.wav,sound
player/Mao_Hurt_5.mp3,player/Male_Hurt_2.wav,sound
UI/UI_mao/ui_change_weapon_mao_1.mp3,,sound
UI/UI_mao/ui_change_weapon_mao_2.mp3,,sound
UI/UI_mao/ui_select_characters_mao_1.mp3,,sound
UI/UI_mao/ui_select_characters_mao_2.mp3,,sound
UI/UI_mao/ui_wating_count_end_mao_1.mp3,,sound
UI/UI_mao/ui_wating_count_end_mao_2.mp3,,sound
,,
player/Marie_BigHurt_1.mp3,player/Female_BigHurt_1.wav,sound
player/Marie_BigHurt_2.mp3,player/Female_BigHurt_2.wav,sound
player/Marie_BigHurt_3.mp3,player/Female_BigHurt_3.wav,sound
player/Marie_BigHurt_4.mp3,player/Female_BigHurt_1.wav,sound
player/Marie_BigHurt_5.mp3,player/Female_BigHurt_2.wav,sound
player/Marie_Death_1.mp3,player/Female_Death_1.wav,sound
player/Marie_Death_2.mp3,player/Female_Death_2.wav,sound
player/Marie_Death_3.mp3,player/Female_Death_1.wav,sound
player/Marie_Hurt_1.mp3,player/Female_Hurt_1.wav,sound
player/Marie_Hurt_2.mp3,player/Female_Hurt_2.wav,sound
player/Marie_Hurt_3.mp3,player/Female_Hurt_3.wav,sound
player/Marie_Hurt_4.mp3,player/Female_Hurt_1.wav,sound
player/Marie_Hurt_5.mp3,player/Female_Hurt_2.wav,sound
UI/UI_marie/ui_change_weapon_Marie_1.mp3,,sound
UI/UI_marie/ui_change_weapon_Marie_2.mp3,,sound
UI/UI_marie/ui_change_weapon_Marie_3.mp3,,sound
UI/UI_marie/ui_select_characters_Marie_1.mp3,,sound
UI/UI_marie/ui_select_characters_Marie_2.mp3,,sound
UI/UI_marie/ui_wating_count_end_Marie.mp3,,sound
,,
player/Natalie_BigHurt_1.mp3,player/Female_BigHurt_1.wav,sound
player/Natalie_BigHurt_2.mp3,player/Female_BigHurt_2.wav,sound
