;Index,Name,recourcename,ClassName,Category,InGameID,UseType,Team,Level,ExpPointModCategory,ExpModPriority,ExpModMin,ExpModMax,PCBangExpModMin,PCBangExpModMax,PointModPriority,PointModMin,PointModMax,PCBangPointModMin,PCBangPointModMax,InventoryType,Damage,HitRate,Reaction,FiringSpeed,Weight,Stability,Skill,AmmoClip,AmmoMax,SkinBase,Period,BuyerType,ItemBoxName,TeamBonusExpOther,TeamBonusExpSelf,TeamBonusPointOther,TeamBonusPointSelf,rewardID
1,9X19mm Sidearm,Glock18,Equipment,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
2,K&M Sub-Machine Gun,MP5,Equipment,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,79,92,92,85,20,0,30,120,,1,,,0,0,0,0,0
3,CV-47,AK47,Equipment,4,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,83,79,91,72,10,0,30,90,,1,,,0,0,0,0,0
4,Maverick M4A1 Carbine,m4a1,Equipment,4,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,29,88,92,91,76,45,0,30,90,,1,,,0,0,0,0,0
5,Magnum Sniper Rifle,awp,Equipment,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,70,26,67,10,0,10,30,,1,,,0,0,0,0,0
6,Leet,leet,Class,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,,,0,0,0,0,0
7,Mila,Mila,Class,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,,,0,0,0,0,0
8,SAS,SAS,Class,7,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,,,0,0,0,0,0
9,Lisa,Lisa,Class,7,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,,,0,0,0,0,0
10,Gign,Gign,Class,7,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,,,0,0,0,0,0
11,Arctic,Arctic,Class,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,,,0,0,0,0,0
12,M249,m249,Equipment,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
13,Night Hawk .50C,deserteagle,Equipment,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
14,40 Dual Elites,Elite,Equipment,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
15,ES Five-Seven,Fiveseven,Equipment,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
16,228 Compact,p228,Equipment,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
