ItemID,Name,resourcename,ResourceVariation,Class,Category,BuyCategory,,,,,,,,,,,,,,,,,,,
1,#CSO2_ITEM_NAME_p228,p228,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
2,#CSO2_ITEM_NAME_GLOCK18,glock18,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
3,#CSO2_ITEM_NAME_scout,scout,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
4,#CSO2_ITEM_NAME_hegrenade,hegrenade,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
5,#CSO2_ITEM_NAME_xm1014,xm1014,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
6,#CSO2_ITEM_NAME_mac10,mac10,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
7,#CSO2_ITEM_NAME_aug,aug,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
8,#CSO2_ITEM_NAME_smokegrenade,smokegrenade,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
9,#CSO2_ITEM_NAME_elites,elites,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
10,#CSO2_ITEM_NAME_fiveseven,fiveseven,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
11,#CSO2_ITEM_NAME_UMP45,ump45,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
12,#CSO2_ITEM_NAME_sg550,sg550,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
13,#CSO2_ITEM_NAME_galil,galil,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
14,#CSO2_ITEM_NAME_famas,famas,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
15,#CSO2_ITEM_NAME_usp,usp45,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
16,#CSO2_ITEM_NAME_awp,awp,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
17,#CSO2_ITEM_NAME_mp5,mp5,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
18,#CSO2_ITEM_NAME_M249,m249,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
19,#CSO2_ITEM_NAME_m3,m3,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
20,#CSO2_ITEM_NAME_m4a1,m4a1,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
21,#CSO2_ITEM_NAME_tmp,tmp,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
22,#CSO2_ITEM_NAME_g3sg1,g3sg1,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
23,#CSO2_ITEM_NAME_flashbang,flashbang,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
