//퀘스트이름,//제목,// 타입,//내용,,
questname,title,type,desc0,desc1,desc2
bomb_target1,#CSO2_UI_QUEST_DEMOLITION,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_BOMB_TARGET_DESC,#CSO2_UI_QUEST_TR_BOMB_TARGET_DESC
bomb_target2,#CSO2_UI_QUEST_DEMOLITION,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_BOMB_TARGET_DESC,#CSO2_UI_QUEST_TR_BOMB_TARGET_DESC
bomb_target3,#CSO2_UI_QUEST_DEMOLITION,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_BOMB_TARGET_DESC,#CSO2_UI_QUEST_TR_BOMB_TARGET_DESC
bomb_target4,#CSO2_UI_QUEST_DEMOLITION,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_BOMB_TARGET_DESC,#CSO2_UI_QUEST_TR_BOMB_TARGET_DESC
hostage_rescue1,#CSO2_UI_QUEST_HOSTAGE_RESCUE,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_HOSTAGE_DESC,#CSO2_UI_QUEST_TR_HOSTAGE_DESC
hostage_rescue2,#CSO2_UI_QUEST_HOSTAGE_RESCUE,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_HOSTAGE_DESC,#CSO2_UI_QUEST_TR_HOSTAGE_DESC
leader_kill,#CSO2_UI_QUEST_LEADER_KILL,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_VIP_LEADER_KILL_DESC,#CSO2_UI_QUEST_PROTECT_LEADER_KILL_DESC
car_takeover,#CSO2_UI_QUEST_CAR_TAKEOVER,global,#CSO2_UI_QUEST_CAR_TAKEOVER_DESC,#CSO2_UI_QUEST_THEIF_CAR_TAKEOVER_DESC,#CSO2_UI_QUEST_STALKER_CAR_TAKEOVER_DESC
move_target_with_car1,#CSO2_UI_QUEST_CAR_MOVE,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_CAR_MOVE_DESC,#CSO2_UI_QUEST_TR_CAR_MOVE_DESC
move_target_with_car2,#CSO2_UI_QUEST_CAR_MOVE,global,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_CT_CAR_MOVE_DESC,#CSO2_UI_QUEST_TR_CAR_MOVE_DESC
get_document,#CSO2_UI_QUEST_GET_DOCUMENT,personal,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_GET_DOCUMENT_DESC,#CSO2_UI_QUEST_GET_DOCUMENT_CLEAR
kill_npc,#CSO2_UI_QUEST_KILL_NPC,personal,#CSO2_UI_QUEST_PLACEHOLDER,#CSO2_UI_QUEST_KILL_NPC_DESC,#CSO2_UI_QUEST_KILL_NPC_CLEAR

