boxid,boxname,itemid,itemname,value
50040,精锐补给箱,137,m3dragon,10
50040,精锐补给箱,5370,mk18pulse_proto,10
50040,精锐补给箱,5105,deserteagle_black1,10
50040,精锐补给箱,5230,netlauncher_gold,10
50040,精锐补给箱,5347,kriss_superv_ruby1,10
50040,精锐补给箱,5165,p90_silver1,10
50040,精锐补给箱,5300,awm_special,10
50040,精锐补给箱,5149,mg3_amethyst1,10
50040,精锐补给箱,5254,KNIFE_MIU,10
50040,精锐补给箱,5170,sg552_opal1,10
50040,精锐补给箱,5158,ak12_xmas1,10
50040,精锐补给箱,5308,g36k_pink1,10
50040,精锐补给箱,5368,GILBOASNAKE_xmas,10
50040,精锐补给箱,5153,qbs09_china1,10
50040,精锐补给箱,136,candlexmas,10
50040,精锐补给箱,5277,partygrenade,10
50040,精锐补给箱,5317,akm_bear,10
50040,精锐补给箱,5087,xm1014_camo1,10
50040,精锐补给箱,5089,p90_camo1,10
50040,精锐补给箱,5115,acr_camo1,10
50040,精锐补给箱,5188,k1_paint1,10
50040,精锐补给箱,5204,awm_paint1,10
50040,精锐补给箱,5052,galil_spray1,10
50040,精锐补给箱,5071,fal_spray1,10
50040,精锐补给箱,2008,POINTLOTTO,40
50040,精锐补给箱,2014,POINTLOTTO_GOLD,40
50040,精锐补给箱,2013,POINTLOTTO_EVENT,40
50013,幸运的角色补给箱,1006,MILA,10
50013,幸运的角色补给箱,1005,LISA,10
50013,幸运的角色补给箱,1008,MILA01,10
50013,幸运的角色补给箱,1007,LISA01,10
50013,幸运的角色补给箱,1010,Karachenko,10
50013,幸运的角色补给箱,1009,MICHAEL,10
50013,幸运的角色补给箱,1011,Leet01,10
50013,幸运的角色补给箱,1032,SAS01,10
50013,幸运的角色补给箱,1013,yuri,8
50013,幸运的角色补给箱,1012,choi,10
50013,幸运的角色补给箱,1015,mao,10
50013,幸运的角色补给箱,1014,lincoln,10
50013,幸运的角色补给箱,1017,natalie,10
50013,幸运的角色补给箱,1016,marie,10
50013,幸运的角色补给箱,1019,ara,10
50013,幸运的角色补给箱,1039,gsg,10
50013,幸运的角色补给箱,1021,yuri01,8
50013,幸运的角色补给箱,1020,choi01,10
50013,幸运的角色补给箱,1023,tammy,10
50013,幸运的角色补给箱,1022,emma,10
50013,幸运的角色补给箱,1025,VIPER,10
50013,幸运的角色补给箱,1024,CARRIE,10
50013,幸运的角色补给箱,1027,natalie01,10
50013,幸运的角色补给箱,1026,marie01,10
50013,幸运的角色补给箱,1029,sonya,10
50013,幸运的角色补给箱,1028,heather,10
50013,幸运的角色补给箱,1031,hasan,10
50013,幸运的角色补给箱,1030,kwan,10
50013,幸运的角色补给箱,1034,MILA02SWIM,10
50013,幸运的角色补给箱,1033,LISA02SWIM,10
50013,幸运的角色补给箱,1036,tammy_color01,10
50013,幸运的角色补给箱,1035,marie_color01,10
50013,幸运的角色补给箱,1038,athena,10
50013,幸运的角色补给箱,1037,MIU,10
50013,幸运的角色补给箱,1042,mila03xmas,10
50013,幸运的角色补给箱,1041,lisa03xmas,10
50013,幸运的角色补给箱,1044,white,10
50013,幸运的角色补给箱,1043,helga,8
50013,幸运的角色补给箱,1048,TAMMY02SWIM,10
50013,幸运的角色补给箱,1047,EMMA02SWIM,10
50013,幸运的角色补给箱,1050,joe,10
50013,幸运的角色补给箱,1049,kenji,10
50013,幸运的角色补给箱,1052,viper01,10
50013,幸运的角色补给箱,1051,carrie01,10
50013,幸运的角色补给箱,1054,athena01,10
50013,幸运的角色补给箱,1053,miu01,10
50013,幸运的角色补给箱,1056,yuri02,8
50013,幸运的角色补给箱,1055,choi02,10
50013,幸运的角色补给箱,1058,white01xmas,10
50013,幸运的角色补给箱,1057,helga01xmas,8
50013,幸运的角色补给箱,2008,POINTLOTTO,40
50013,幸运的角色补给箱,2014,POINTLOTTO_GOLD,40
50013,幸运的角色补给箱,2013,POINTLOTTO_EVENT,40
50038,万圣节补给箱,157,akmphoenix,10
50038,万圣节补给箱,5282,m3dragon_black,10
50038,万圣节补给箱,5337,mk23_blackmamba1,10
50038,万圣节补给箱,5286,usas12_amethyst1,10
50038,万圣节补给箱,5351,thompson_opal1,10
50038,万圣节补给箱,5220,awm_nebula,10
50038,万圣节补给箱,5163,m60_silver1,10
50038,万圣节补给箱,5304,KNIFE_ICEPICKEL,10
50038,万圣节补给箱,5167,heartgrenade,10
50038,万圣节补给箱,5359,akm_gamania01,10
50038,万圣节补给箱,5151,ak12_amethyst1,10
50038,万圣节补给箱,5298,F2000_neon1,10
50038,万圣节补给箱,5325,acr_gold1,10
50038,万圣节补给箱,5108,krisssuperv_puma1,10
50038,万圣节补给箱,5341,scarH_lion1,10
50038,万圣节补给箱,5131,ANACONDA_red1,10
50038,万圣节补给箱,5109,ar57_camo1,10
50038,万圣节补给箱,5107,scarl_camo1,10
50038,万圣节补给箱,5072,m60_spray1,10
50038,万圣节补给箱,5201,mk18_paint1,10
50038,万圣节补给箱,5066,FNC_spray1,10
50038,万圣节补给箱,2008,POINTLOTTO,40
50038,万圣节补给箱,2014,POINTLOTTO_GOLD,40
50038,万圣节补给箱,2013,POINTLOTTO_EVENT,40
50029,幸运的帽子补给箱,10001,WELDMASK,10
50029,幸运的帽子补给箱,10002,CBT_HEAD,10
50029,幸运的帽子补给箱,10003,CHICKENHEAD,10
50029,幸运的帽子补给箱,10004,FLOWER,10
50029,幸运的帽子补给箱,10005,HELMET,10
50029,幸运的帽子补给箱,10006,KOALA,10
50029,幸运的帽子补给箱,10007,XMAS01_HEAD,10
50029,幸运的帽子补给箱,10008,GSTAR_HEAD,10
50029,幸运的帽子补给箱,10010,TWINDIAN,10
50029,幸运的帽子补给箱,10011,TWSATGAT,10
50029,幸运的帽子补给箱,10012,ANGELRING,10
50029,幸运的帽子补给箱,10014,HEADCRAB,10
50029,幸运的帽子补给箱,10015,LVUP02,10
50029,幸运的帽子补给箱,10016,LVUP01,10
50029,幸运的帽子补给箱,10017,LVUP03,10
50029,幸运的帽子补给箱,10018,NEWYEARHEAD,10
50029,幸运的帽子补给箱,10020,PIGHEAD,10
50029,幸运的帽子补给箱,10021,RUDOLPH,10
50029,幸运的帽子补给箱,10022,SNAKEYEAR,10
50029,幸运的帽子补给箱,10023,LVUP04,10
50029,幸运的帽子补给箱,10024,LVUP05,10
50029,幸运的帽子补给箱,10025,LVUP06,10
50029,幸运的帽子补给箱,10026,LVUP07,10
50029,幸运的帽子补给箱,10027,LVUP08,10
50029,幸运的帽子补给箱,10028,LVUP09,10
50029,幸运的帽子补给箱,10029,head_chuseok01,10
50029,幸运的帽子补给箱,10030,head_millet01,10
50029,幸运的帽子补给箱,10031,head_sunung,10
50029,幸运的帽子补给箱,10032,head_stopit,10
50029,幸运的帽子补给箱,10033,head_foxhead,10
50029,幸运的帽子补给箱,10034,head_snl_kor,10
50029,幸运的帽子补给箱,10035,head_snl_jap,10
50029,幸运的帽子补给箱,10036,head_chieftain_helmat,10
50029,幸运的帽子补给箱,10037,head_horseyear,10
50029,幸运的帽子补给箱,10038,head_schoolhat,10
50029,幸运的帽子补给箱,10039,head_Taegeukgi,10
50029,幸运的帽子补给箱,10040,head_snl_mask,10
50029,幸运的帽子补给箱,10041,head_snl_qing,10
50029,幸运的帽子补给箱,10042,head_soccer,10
50029,幸运的帽子补给箱,10043,head_newbie,10
50029,幸运的帽子补给箱,10044,head_pumpkin,10
50029,幸运的帽子补给箱,10045,HEAD_gstar2014,10
50029,幸运的帽子补给箱,10046,HEAD_1year,10
50029,幸运的帽子补给箱,10047,HEAD_sunglasshat,10
50029,幸运的帽子补给箱,10048,HEAD_boardhelemt,10
50029,幸运的帽子补给箱,10049,HEAD_mask_01,10
50029,幸运的帽子补给箱,10050,HEAD_mask_02,10
50029,幸运的帽子补给箱,10052,HEAD_2015sheep,10
50029,幸运的帽子补给箱,10053,HEAD_cake,10
50029,幸运的帽子补给箱,10054,HEAD_BASEBALL,10
50029,幸运的帽子补给箱,10055,HEAD_MAXHELMET,10
50029,幸运的帽子补给箱,10056,HEAD_POLICECAP,10
50029,幸运的帽子补给箱,10057,HEAD_BENNY,10
50029,幸运的帽子补给箱,10058,HEAD_vipfedora,10
50029,幸运的帽子补给箱,10059,HEAD_diyhelmet,10
50029,幸运的帽子补给箱,10060,HEAD_chnact,10
50029,幸运的帽子补给箱,10061,HEAD_gstar2015,10
50029,幸运的帽子补给箱,10062,head_witchhat,10
