WeaponData								
{
	default
	{

		MaxPlayerSpeed		218				
		WeaponType			Rifle			
		FullAuto			1			
		WeaponPrice			2900			
		BigcityWeaponPrice		3000
		WeaponArmorRatio		1.5				
		CrosshairMinDistance		4				
		CrosshairDeltaDistance	3				
		Team				ANY		
		BuiltRightHanded 		0				
		PlayerAnimationExtension	fnc					
		MuzzleFlashScale		1.6				
		MuzzleFlashStyle		CS_MUZZLEFLASH_X				
		CanEquipWithShield 		0				
								
								
		// Weapon characteristics:						
		Penetration			2			
		Damage			32			
		Range				8192		
		RangeModifier			0.96			
		Bullets			1			
		CycleTime			0.097			
		AccuracyDivisor		280				
		AccuracyOffset		0.08				
		MaxInaccuracy			0.6			
		TimeToIdle			1.1			
		IdleInterval			20			
		AccuracyQuadratic		0				
								
		// Weapon data is loaded by both the Game and Client DLLs.						
		printname			#CSO2_ITEM_NAME_FNC			
		viewmodel			models/weapons/v_fnc.mdl			
		playermodel			models/weapons/w_fnc.mdl			
								
		anim_prefix			anim			
		bucket			0			
		bucket_position		0				
								
		clip_size			30			
								
		primary_ammo			BULLET_PLAYER_556MM			
		secondary_ammo		None		primary_ammo_InvenCategory			RIFLE		secondary_ammo_InvenCategory			None				
								
		weight			25			
		item_flags			0			
								
		// Spread						
		SpreadFunction		Rifle				
		BaseAccuracy			0.2			
		DefaultSpread			0.046			
		DefaultSpreadOffset		0.002				
		RunSpread			0.12			
		RunSpreadOffset		0.012				
		MoveSpread			0.07			
		MoveSpreadOffset		0.008				
		JumpSpread			0.09			
		JumpSpreadOffset		0.008				
		DuckingSpread			0.043			
		DuckingSpreadOffset		0				
		ReloadDelay			0.1			
		//"ZoomDelay"			0			
		//"ZoomFov"			90			
		//"ZoomFovSecond"		90				
								
		// 총에 맞은 대상의 넉백 수치						
		//Knockback						
		//{						
		//	ground		100			
		//	crouch		100			
		//	jump			100		
		//	retardation		2			
		//	DivAccel		2			
		//}						
								
		// 총기 반동						
		//"up_base"		위쪽 반동 기본값				
		//"lateral_base"	좌우 반동 기본값					
		//"up_modifier"		위쪽 반동에 총 발사회수마다 곱해지는 값				
		//"lateral_modifier"	좌우 반동에 총 발사회수마다 곱해지는 값					
		//"up_max"		위쪽 최대 반동값				
		//"lateral_max"		좌우 최대 반동값				
		//"direction_change"	좌우측 반동 방향이 바뀔 확률 = 1 / (direction_change + 1). 0이면 매 발사시마다 방향바뀜					
		Kickback						
		{						
			Default_Kickback					
			{					
				up_base		0.68		
				lateral_base		0.32		
				up_modifier		0.27		
				lateral_modifier	0.014			
				up_max		3.6		
				lateral_max		2.3		
				direction_change	8			
			}					
			Jump_Kickback					
			{					
				up_base		1.2		
				lateral_base		0.4		
				up_modifier		0.23		
				lateral_modifier	0.15			
				up_max		5.5		
				lateral_max		3.5		
				direction_change	6			
			}					
			Ducking_Kickback					
			{					
				up_base		0.6		
				lateral_base		0.27		
				up_modifier		0.2		
				lateral_modifier	0.0122			
				up_max		3.25		
				lateral_max		1.9		
				direction_change	9			
			}					
			Move_Kickback					
			{					
				up_base		0.8		
				lateral_base		0.335		
				up_modifier		0.23		
				lateral_modifier	0.025			
				up_max		3.6		
				lateral_max		2.5		
				direction_change	7			
			}					
		}						
								
		// Sounds for the weapon. There is a max of 16 sounds per category (i.e. max 16 "single_shot" sounds)						
		SoundData						
		{						
			//"reload"			Default.Reload		
			//"empty"				Default.ClipEmpty_Rifle	
			single_shot		Weapon_fnc.Single			
		}						
								
		// Weapon Sprite data is loaded by the Client DLL.						
		TextureData						
		{						
			weapon					
			{					
					font		CSweaponsSmall	
					character	V		
			}					
			weapon_s					
			{					
					font		CSweapons	
					character	V		
			}					
			ammo					
			{					
					font		CSTypeDeath	
					character		N	
			}					
			crosshair					
			{					
					file		sprites/crosshairs	
					x			0
					y			48
					width		24	
					height	24		
			}					
			autoaim					
			{					
					file		sprites/crosshairs	
					x			0
					y			48
					width		24	
					height	24		
			}					
		}						
		ModelBounds						
		{						
			Viewmodel					
			{					
				Mins	-29			
				Maxs	36 4 0			
			}					
			World					
			{					
				Mins	-26			
				Maxs	31 10 8			
			}
		}
	}
	basic
	{
		"printname"				"#CSO2_ITEM_NAME_FNC_BASIC"
	}
	spray1
	{
		"printname"			"#CSO2_ITEM_NAME_fnc_spray1"
		"WorldSkin"			"models/weapons/w_models/w_rif_fnc/w_fnc_c_spray1"
		"ViewSkin"			"models/weapons/v_models/rif_fnc/v_fnc_c_spray1"
	}
	camo1
	{
		"printname"			"#CSO2_ITEM_NAME_fnc_camo1"
		"WorldSkin"			"models/weapons/w_models/w_rif_fnc/w_fnc_b_camo1"
		"ViewSkin"			"models/weapons/v_models/rif_fnc/v_fnc_b_camo1"
	}
	honor
	{
		"printname"			"#CSO2_ITEM_NAME_fnc_honor"
		"WorldSkin"			"models/weapons/w_models/w_rif_fnc/w_fnc_s_season5"
		"ViewSkin"			"models/weapons/v_models/rif_fnc/v_fnc_s_season5"
	}
}

